skill,activation,t,decay,b
A=pi*r^2:()->answer,-inf,1,0.177,0.01
A=pi*r^2:()->answer,0.3948298140119091,2,0.5881044507141373,1.0
A=pi*r^2:()->answer,5.008806512936178,15,41.65108358121513,1.0
A=pi*r^2:()->answer,5.197216042668809,17,50.24981619285068,1.0
A=pi*r^2:()->answer,5.183881942139345,31,49.58657193767138,1.0
A=pi*r^2:()->answer,5.131682068634728,33,47.07355862244794,0.01
A=pi*r^2:()->answer,3.0734273117829805,34,6.164593263530096,1.0
A=pi*r^2:()->answer,5.125117859145872,35,46.766727939531485,0.01
A=pi*r^2:()->answer,3.135467081738063,36,6.547827130413936,1.0
A=pi*r^2:()->answer,5.122236991833924,160,46.63270226302749,1.0
A=pi*r^2:()->answer,5.053362900484403,167,43.54080589842464,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",-inf,4,0.177,0.01
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",0.3948298140119091,5,0.5881044507141373,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.008806512936178,9,41.65108358121513,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.3331613588037134,11,57.54138188156189,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.281666133913891,16,54.662159460951244,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.21371183732941,19,51.082657390165174,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.190218993935813,23,49.900677153635,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.167951233648972,25,48.805679053944104,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.159277527911336,154,48.38571216896031,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.0550781734446,156,43.615250490278804,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.0546834392970075,162,43.598107313219906,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(a,b,h)->answer",5.0535459865160695,165,43.54874593239699,1.0
A=l*w:()->answer,-inf,7,0.177,0.01
A=l*w:()->answer,0.3948298140119091,8,0.5881044507141373,1.0
A=l*w:()->answer,5.008806512936178,10,41.65108358121513,1.0
A=l*w:()->answer,5.426515642465333,29,63.15452203752163,1.0
A=l*w:()->answer,5.15539078934581,32,48.19870117502708,1.0
A=l*w:()->answer,5.14516605888833,41,47.71019390788255,0.01
A=l*w:()->answer,3.041205039856346,43,5.974734669658222,1.0
A=l*w:()->answer,5.1194003531314465,44,46.50111094678534,0.01
A=l*w:()->answer,3.107896446447172,45,6.374578638873122,1.0
A=l*w:()->answer,5.117230365076483,158,46.40069716712798,1.0
A=l*w:()->answer,5.05487979424737,166,43.60663409970204,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",-inf,13,0.177,0.01
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",0.3948298140119091,14,0.5881044507141373,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.008806512936178,20,41.65108358121513,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.281666133913891,24,54.662159460951244,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.223569687611423,26,51.586959321813055,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.204995015305181,151,50.640850209432664,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.057630034677046,164,43.72624043294566,1.0
A=1/2*(a+b)*h:()->answer,-inf,37,0.177,0.01
A=1/2*(a+b)*h:()->answer,0.3948298140119091,38,0.5881044507141373,1.0
A=1/2*(a+b)*h:()->answer,5.008806512936178,39,41.65108358121513,0.01
A=1/2*(a+b)*h:()->answer,4.619397043353489,40,28.27390057849883,1.0
A=1/2*(a+b)*h:()->answer,5.4265156424653345,42,63.15452203752174,1.0
A=1/2*(a+b)*h:()->answer,5.3331613588037365,152,57.54138188156321,1.0
A=1/2*(a+b)*h:()->answer,5.063632493779098,159,43.98842906864092,1.0
A=1/2*b*h:()->answer,-inf,46,0.177,0.01
A=1/2*b*h:()->answer,0.3948298140119091,47,0.5881044507141373,1.0
A=1/2*b*h:()->answer,5.008806512936178,48,41.65108358121513,0.01
A=1/2*b*h:()->answer,4.619397043353489,49,28.27390057849883,1.0
A=1/2*b*h:()->answer,5.4265156424653345,150,63.15452203752174,1.0
A=1/2*b*h:()->answer,5.067206885593748,153,44.14530848932273,1.0
A=1/2*b*h:()->answer,5.066175970279056,157,44.10000424317293,1.0
A=1/2*b*h:()->answer,5.064868841018937,163,44.0426287059254,1.0
