Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-S-2,2,[2][args:504-4-98-14],Skill,study,NA,Train,None,{('answer'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_4_concept_2')},Multiply(Add(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_4_concept_2&arg_4_concept_2&arg_4_concept_2)->answer,False,True,None,18,12:40:59
SPSP-S-2,3,[3][args:162-6-3],Skill,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_2_concept_3'&'arg_1_concept_3'&'arg_2_concept_3')},Subtract(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_3&arg_2_concept_3&arg_1_concept_3&arg_2_concept_3)->answer,False,True,None,9,12:41:02
SPSP-S-2,4,[4][args:4-8],Skill,study,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,4098,12:41:09
SPSP-S-2,5,[5][args:5-151-256],Skill,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,21,12:41:20
SPSP-S-2,2,[2][args:88-11-48-6],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_4_concept_2')},Multiply(Add(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_4_concept_2&arg_4_concept_2&arg_4_concept_2)->answer (v: 0.700),False,False,17,1,12:41:20
SPSP-S-2,2,[2][args:88-11-48-6],Skill,practice,NA,Train,None,{('answer'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_2_concept_2')},Add(?.v&Subtract(?.v&?.v)):(arg_4_concept_2&arg_4_concept_2&arg_2_concept_2)->answer,False,False,None,1,12:41:49
SPSP-S-2,3,[3][args:648-12-6],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_2_concept_3'&'arg_1_concept_3'&'arg_2_concept_3')},Subtract(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_3&arg_2_concept_3&arg_1_concept_3&arg_2_concept_3)->answer (v: 0.692),False,False,90,9,12:41:49
SPSP-S-2,3,[3][args:648-12-6],Skill,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_3&arg_3_concept_3&arg_3_concept_3&arg_3_concept_3)->answer,False,False,None,9,12:42:21
SPSP-S-2,4,[4][args:1-13],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.685),False,False,None,26,12:42:21
SPSP-S-2,4,[4][args:1-13],Skill,practice,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(?.v&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,False,None,26,12:43:22
