Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,1,[1][args:23-1],Fact,study,NA,Train,None,{('QMele-answer'&'QMele-arg_1_concept_1')},('Swap'&('value'&'?arg0')):(arg_1_concept_1)->answer,False,True,None,32,09:42:09
SPPP-F-1,2,[2][args:441-7-372-124],Fact,study,NA,Train,None,{('QMele-answer'&)},21:()->answer,False,True,None,21,09:42:09
SPPP-F-1,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('QMele-answer'&)},13:()->answer,False,True,None,13,09:42:09
SPPP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('QMele-answer'&)},100002:()->answer,False,True,None,100002,09:42:09
SPPP-F-1,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('QMele-answer'&)},21:()->answer,False,True,None,21,09:42:09
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('QMele-answer'&)},21:()->answer (v: 1.000),False,True,21,32,09:42:09
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,CORRECT,Request,...,{('QMele-answer'&)},21:()->answer (v: 1.000),False,True,21,21,09:42:10
SPPP-F-1,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('QMele-answer'&)},13:()->answer (v: 1.000),False,True,13,13,09:42:10
SPPP-F-1,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('QMele-answer'&)},100002:()->answer (v: 1.000),False,True,100002,100002,09:42:10
SPPP-F-1,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('QMele-answer'&)},21:()->answer (v: 1.000),False,True,21,21,09:42:10
SPPP-F-1,1,[1][args:23-1],Fact,practice,CORRECT,Request,...,{('QMele-answer'&'QMele-arg_1_concept_1')},('Swap'&('value'&'?arg0')):(arg_1_concept_1)->answer (v: 1.000),False,True,32,32,09:42:10
