skill,activation,t,decay,b
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",-inf,1,0.177,0.01
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",0.3948298140119091,4,0.5881044507141373,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.0077936681323765,6,41.60909803717679,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.426161877611538,11,63.132246743985945,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.263062633043591,12,53.65791494447128,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.2477253238709896,15,52.843919821054676,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.213583553182304,23,51.07612742017878,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.163372898400971,24,48.58354953827079,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.159202115379446,26,48.38207676499571,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.151691639784331,28,48.02138987288641,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.145102743159143,148,47.70718440432511,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.056092255817395,149,43.65932279710395,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.055883294516044,151,43.65023762360439,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.055471945979361,163,43.63235864842029,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",-inf,3,0.177,0.01
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",0.3948298140119091,14,0.5881044507141373,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.006420811377532,27,41.55225672793431,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.196776462889133,29,50.22781003242681,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.183485683256996,155,49.56699683457841,1.0
"('Multiply', ('value', '?arg0'), ('value', '?arg1')):(w,l)->answer",5.056695711807557,156,43.68557038409729,1.0
A=1/2*b*h:()->answer,-inf,5,0.177,0.01
A=1/2*b*h:()->answer,0.3948298140119091,7,0.5881044507141373,1.0
A=1/2*b*h:()->answer,5.008199132455796,17,41.62590068098139,1.0
A=1/2*b*h:()->answer,5.223497222694805,19,51.58323403837526,1.0
A=1/2*b*h:()->answer,5.204933035667565,41,50.6377225752098,0.01
A=1/2*b*h:()->answer,3.0256489354020633,42,5.8852423839083245,1.0
A=1/2*b*h:()->answer,5.119378297407688,43,46.500089246258156,1.0
A=1/2*b*h:()->answer,5.132560297710788,44,47.1147626344297,1.0
A=1/2*b*h:()->answer,5.117339156409534,153,46.405726178312776,1.0
A=1/2*b*h:()->answer,5.0556811529407595,160,43.64145076299327,1.0
A=pi*r^2:()->answer,-inf,9,0.177,0.01
A=pi*r^2:()->answer,0.3948298140119091,10,0.5881044507141373,1.0
A=pi*r^2:()->answer,5.008806512936178,13,41.65108358121513,1.0
A=pi*r^2:()->answer,5.371586948181004,20,59.78853975538797,1.0
A=pi*r^2:()->answer,5.223569687611423,31,51.586959321813055,1.0
A=pi*r^2:()->answer,5.15539078934581,36,48.19870117502708,0.01
A=pi*r^2:()->answer,3.164247031762489,38,6.733843143264663,1.0
A=pi*r^2:()->answer,5.134095411962406,39,47.18687279729712,1.0
A=pi*r^2:()->answer,5.139884452489674,40,47.459804099057656,1.0
A=pi*r^2:()->answer,5.129925465877728,158,46.991252309190386,1.0
A=pi*r^2:()->answer,5.055278611351315,164,43.62395803491029,1.0
A=1/2*(a+b)*h:()->answer,-inf,32,0.177,0.01
A=1/2*(a+b)*h:()->answer,0.3948298140119091,33,0.5881044507141373,1.0
A=1/2*(a+b)*h:()->answer,5.008806512936178,34,41.65108358121513,1.0
A=1/2*(a+b)*h:()->answer,5.514886882509038,35,68.97324119919838,1.0
A=1/2*(a+b)*h:()->answer,5.426515642465522,37,63.154522037533546,1.0
A=1/2*(a+b)*h:()->answer,5.3331613588037134,161,57.54138188156189,1.0
A=l*w:()->answer,-inf,45,0.177,0.01
A=l*w:()->answer,0.3948298140119091,46,0.5881044507141373,1.0
A=l*w:()->answer,5.008806512936178,47,41.65108358121513,1.0
A=l*w:()->answer,5.514886882509038,48,68.97324119919838,1.0
A=l*w:()->answer,5.426515642465522,147,63.154522037533546,1.0
A=l*w:()->answer,5.067920025887645,157,44.17667524488024,1.0
A=l*w:()->answer,5.064553368906101,162,44.02879250593905,1.0
