skill,activation,t,decay,b
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",-inf,1,0.177,0.01
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",0.3948298140119091,2,0.5881044507141373,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.008806512936178,4,41.65108358121513,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.426515642465333,6,63.15452203752163,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.3331613588037134,8,57.54138188156189,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.281666133913891,12,54.662159460951244,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.223569687611423,16,51.586959321813055,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.190218993935813,20,49.900677153635,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.167951233648972,23,48.805679053944104,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.15539078934581,25,48.19870117502708,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.14835993726073,28,47.86225184589567,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.139321291482798,32,47.43318376396423,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.129387405229313,161,46.966070177602404,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.0531815898335735,166,43.53294429127283,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.05230070606861,168,43.49476956005094,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(b,a,h)->answer",5.051959843506132,175,43.48000667031902,1.0
A=1/2*b*h:()->answer,-inf,3,0.177,0.01
A=1/2*b*h:()->answer,0.3948298140119091,9,0.5881044507141373,1.0
A=1/2*b*h:()->answer,5.007061279583827,24,41.57876475226313,1.0
A=1/2*b*h:()->answer,5.183657122799253,33,49.57546495889273,1.0
A=1/2*b*h:()->answer,5.145017119189396,36,47.70311485548159,0.01
A=1/2*b*h:()->answer,3.143765865097245,37,6.6009172315201115,1.0
A=1/2*b*h:()->answer,5.133966483730271,38,47.18081228819823,1.0
A=1/2*b*h:()->answer,5.140548983208898,39,47.49123541725413,1.0
A=1/2*b*h:()->answer,5.1298894077622865,164,46.989564305909624,1.0
A=1/2*b*h:()->answer,5.053896174806506,167,43.56393686964724,1.0
A=1/2*b*h:()->answer,5.053341928375457,176,43.539896477499276,1.0
A=pi*r^2:()->answer,-inf,5,0.177,0.01
A=pi*r^2:()->answer,0.3948298140119091,10,0.5881044507141373,1.0
A=pi*r^2:()->answer,5.007255889822493,17,41.58682274364112,1.0
A=pi*r^2:()->answer,5.262916117361183,30,53.650079725727615,1.0
