Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-1,2,[2][args:588-6-112-8],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:16:50
SPSP-F-1,3,[3][args:312-13-4],Fact,study,NA,Train,None,{('answer'&)},6.0:()->answer,False,True,None,6,12:16:50
SPSP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:16:50
SPSP-F-1,2,[2][args:588-6-112-8],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.711),False,True,7.0,7,12:16:50
SPSP-F-1,3,[3][args:312-13-4],Fact,practice,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.700),False,True,6.0,6,12:16:51
SPSP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.692),False,True,100002.0,100002,12:16:51
SPSP-F-1,2,[2][args:588-6-112-8],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:16:52
SPSP-F-1,3,[3][args:312-13-4],Fact,study,NA,Train,None,{('answer'&)},6.0:()->answer,False,True,None,6,12:16:52
SPSP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:16:52
SPSP-F-1,2,[2][args:588-6-112-8],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.988),False,True,7.0,7,12:16:52
SPSP-F-1,3,[3][args:312-13-4],Fact,practice,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.988),False,True,6.0,6,12:16:53
SPSP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.988),False,True,100002.0,100002,12:16:53
SPSP-F-1,2,[2][args:588-6-112-8],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:16:54
SPSP-F-1,3,[3][args:312-13-4],Fact,study,NA,Train,None,{('answer'&)},6.0:()->answer,False,True,None,6,12:16:54
SPSP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:16:54
SPSP-F-1,2,[2][args:588-6-112-8],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.983),False,True,7.0,7,12:16:54
SPSP-F-1,3,[3][args:312-13-4],Fact,practice,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.983),False,True,6.0,6,12:16:55
SPSP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.983),False,True,100002.0,100002,12:16:55
SPSP-F-1,2,[2][args:588-6-112-8],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:16:56
SPSP-F-1,3,[3][args:312-13-4],Fact,study,NA,Train,None,{('answer'&)},6.0:()->answer,False,True,None,6,12:16:56
SPSP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:16:56
SPSP-F-1,2,[2][args:588-6-112-8],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.978),False,True,7.0,7,12:16:56
SPSP-F-1,3,[3][args:312-13-4],Fact,practice,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.978),False,True,6.0,6,12:16:57
SPSP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.978),False,True,100002.0,100002,12:16:57
SPSP-F-1,2,[2][args:588-6-112-8],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:16:58
SPSP-F-1,3,[3][args:312-13-4],Fact,study,NA,Train,None,{('answer'&)},6.0:()->answer,False,True,None,6,12:16:58
SPSP-F-1,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:16:59
SPSP-F-1,2,[2][args:588-6-112-8],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.974),False,True,7.0,7,12:16:59
SPSP-F-1,3,[3][args:312-13-4],Fact,practice,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.974),False,True,6.0,6,12:16:59
SPSP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.974),False,True,100002.0,100002,12:17:00
SPSP-F-1,4,[4][args:5-10],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.956),False,True,100002.0,100002,12:17:00
SPSP-F-1,4,[4][args:4-12],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,20739,12:17:00
SPSP-F-1,2,[2][args:588-6-112-8],Fact,posttest,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.955),False,True,7.0,7,12:17:00
SPSP-F-1,4,[4][args:5-10],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.956),False,True,100002.0,100002,12:17:00
SPSP-F-1,3,[3][args:312-13-4],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.955),False,True,6.0,6,12:17:00
SPSP-F-1,3,[3][args:693-7-3],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.997),False,False,6.0,33,12:17:00
SPSP-F-1,3,[3][args:448-7-8],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.997),False,False,6.0,8,12:17:00
SPSP-F-1,2,[2][args:360-6-135-9],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,4,12:17:01
SPSP-F-1,2,[2][args:588-6-112-8],Fact,posttest,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.954),False,True,7.0,7,12:17:01
SPSP-F-1,4,[4][args:2-8],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,68,12:17:01
SPSP-F-1,4,[4][args:5-10],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.954),False,True,100002.0,100002,12:17:01
SPSP-F-1,3,[3][args:312-13-4],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.953),False,True,6.0,6,12:17:01
SPSP-F-1,3,[3][args:312-13-4],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.997),False,True,6.0,6,12:17:01
SPSP-F-1,2,[2][args:588-6-112-8],Fact,posttest,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.952),False,True,7.0,7,12:17:01
SPSP-F-1,3,[3][args:312-3-4],Fact,posttest,INCORRECT,Request,...,{('answer'&)},6.0:()->answer (v: 0.953),False,False,6.0,26,12:17:01
SPSP-F-1,2,[2][args:288-12-18-9],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,12,12:17:01
SPSP-F-1,4,[4][args:1-8],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,16,12:17:01
SPSP-F-1,2,[2][args:45-3-120-24],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,3,12:17:01
