Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer,False,True,None,6,08:14:45
SPPP-F-1,3,[3][args:280-7-8],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,5,08:14:46
SPPP-F-1,4,[4][args:4-8],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,4098,08:14:46
SPPP-F-1,5,[5][args:23-16-200],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,8,08:14:50
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer (v: 0.700),False,True,6,6,08:14:50
SPPP-F-1,3,[3][args:280-7-8],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,5,08:14:54
SPPP-F-1,3,[3][args:280-7-8],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,5,08:15:01
SPPP-F-1,4,[4][args:4-8],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.692),False,True,4098,4098,08:15:01
SPPP-F-1,5,[5][args:23-16-200],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.692),False,True,8,8,08:15:08
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer (v: 0.992),False,True,6,6,08:15:19
