Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,3,12:38:13
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,NA,Train,None,{('answer'&)},3.0:()->answer,False,True,None,3,12:38:14
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.749),False,True,3.0,13,12:38:14
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.749),False,True,13.0,39,12:38:14
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.749),False,True,39.0,3,12:38:15
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.993),False,True,13.0,13,12:38:15
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.993),False,True,39.0,39,12:38:15
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.988),False,True,3.0,3,12:38:16
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.988),False,True,13.0,13,12:38:17
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.988),False,True,39.0,39,12:38:17
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.984),False,True,3.0,3,12:38:18
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.984),False,True,13.0,13,12:38:19
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.984),False,True,39.0,39,12:38:20
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.980),False,True,3.0,3,12:38:21
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.980),False,True,13.0,13,12:38:22
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.980),False,True,39.0,39,12:38:24
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.978),False,True,3.0,3,12:38:26
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.978),False,True,13.0,13,12:38:28
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,[3&2],HINT,False,True,None,39,12:38:30
SPPP-F-2,4,[4][args:2-6],Fact,practice,NA,Train,None,{('answer'&)},39.0:()->answer,False,True,None,39,12:38:30
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.975),False,True,3.0,3,12:38:30
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.975),False,True,13.0,13,12:38:32
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.975),False,True,39.0,39,12:38:33
SPPP-F-2,2,[2][args:150-5-90-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},3.0:()->answer (v: 0.973),False,True,3.0,3,12:38:34
SPPP-F-2,3,[3][args:1170-9-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},13.0:()->answer (v: 0.973),False,True,13.0,13,12:38:35
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},39.0:()->answer (v: 0.973),False,True,39.0,39,12:38:36
