Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-S-1,2,[2][args:240-5-72-24],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,16,12:40:58
SPPP-S-1,3,[3][args:99-11-3],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,3,12:41:02
SPPP-S-1,4,[4][args:5-10],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,100002,12:41:06
SPPP-S-1,5,[5][args:3-56-98],Skill,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.749),False,True,100002.0,14,12:41:06
SPPP-S-1,5,[5][args:3-56-98],Skill,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,14,12:41:22
SPPP-S-1,2,[2][args:165-3-143-13],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_1_concept_2')},Divide(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_1_concept_2)->answer (v: 0.679),False,False,4.999999999999999,5,12:41:22
SPPP-S-1,2,[2][args:165-3-143-13],Skill,practice,NA,Train,None,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_1_concept_2')&('answer'&'arg_4_concept_2'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Divide(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_3_concept_2&arg_2_concept_2&arg_1_concept_2)->answer,False,False,None,5,12:41:31
SPPP-S-1,3,[3][args:308-4-7],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Subtract(?.v&Subtract(?.v&?.v)):(arg_2_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.679),False,False,7,11,12:41:31
SPPP-S-1,3,[3][args:308-4-7],Skill,practice,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3'&'arg_1_concept_3'&'arg_1_concept_3')},Subtract(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_2_concept_3&arg_3_concept_3&arg_1_concept_3&arg_1_concept_3)->answer,False,False,None,11,12:41:41
SPPP-S-1,4,[4][args:2-6],Skill,practice,INCORRECT,Request,...,[1&1],HINT,False,False,None,39,12:41:50
SPPP-S-1,5,[5][args:15-142-322],Skill,practice,INCORRECT,Request,...,[1&0],HINT,False,False,None,12,12:42:02
SPPP-S-1,2,[2][args:441-7-372-124],Skill,practice,CORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_1_concept_2')&('answer'&'arg_4_concept_2'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Divide(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_1_concept_2)->answer (v: 0.989),False,False,21,21,12:42:02
SPPP-S-1,3,[3][args:162-6-3],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Subtract(?.v&Subtract(?.v&?.v)):(arg_2_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.990),False,False,3,9,12:42:14
SPPP-S-1,3,[3][args:162-6-3],Skill,practice,NA,Train,None,{('answer'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_2_concept_3'&'arg_2_concept_3')},Multiply(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_3&arg_3_concept_3&arg_2_concept_3&arg_2_concept_3)->answer,False,False,None,9,12:42:41
SPPP-S-1,4,[4][args:3-12],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.685),False,False,148,1732,12:42:41
SPPP-S-1,4,[4][args:3-12],Skill,practice,NA,Train,None,{('answer'&)},1732.0:()->answer,False,False,None,1732,12:43:19
SPPP-S-1,5,[5][args:5-151-256],Skill,practice,INCORRECT,Request,...,[1&0],HINT,False,False,None,21,12:43:39
SPPP-S-1,2,[2][args:88-11-48-6],Skill,practice,CORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_1_concept_2')&('answer'&'arg_4_concept_2'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Divide(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_1_concept_2)->answer (v: 0.984),False,False,1,1,12:43:39
SPPP-S-1,3,[3][args:280-7-8],Skill,practice,INCORRECT,Request,...,[2&1],HINT,False,False,None,5,12:44:21
SPPP-S-1,4,[4][args:3-9],Skill,practice,INCORRECT,Request,...,{('answer'&)},1732.0:()->answer (v: 0.685),False,False,1732.0,732,12:44:21
SPPP-S-1,4,[4][args:3-9],Skill,practice,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,False,None,732,12:45:01
SPPP-S-1,5,[5][args:16-117-421],Skill,practice,INCORRECT,Request,...,[1&0],HINT,False,False,None,19,12:45:24
SPPP-S-1,2,[2][args:504-4-98-14],Skill,practice,CORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_1_concept_2')&('answer'&'arg_4_concept_2'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Divide(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_1_concept_2)->answer (v: 0.980),False,False,18,18,12:45:24
SPPP-S-1,3,[3][args:495-9-5],Skill,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.685),False,False,11,11,12:45:48
