Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,16,13:24:19
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Subtract(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_2&arg_4_concept_2&arg_4_concept_2&arg_3_concept_2)->answer,False,True,None,16,13:24:45
SPPP-F-2,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,9,13:24:45
SPPP-F-2,3,[3][args:648-12-6],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_3&arg_3_concept_3&arg_3_concept_3&arg_3_concept_3)->answer,False,True,None,9,13:24:48
SPPP-F-2,4,[4][args:2-6],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,39,13:24:48
SPPP-F-2,4,[4][args:2-6],Fact,practice,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Pow(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,39,13:24:55
SPPP-F-2,5,[5][args:25-63-338],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,11,13:24:55
SPPP-F-2,5,[5][args:25-63-338],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,11,13:25:05
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Subtract(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_2&arg_4_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.679),False,True,16,16,13:25:06
SPPP-F-2,3,[3][args:648-12-6],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_3&arg_3_concept_3&arg_3_concept_3&arg_3_concept_3)->answer (v: 0.685),False,True,9,9,13:25:15
