Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,11,12:27:25
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,NA,Train,None,{('answer'&)},11.0:()->answer,False,True,None,11,12:27:26
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.749),False,True,11.0,11,12:27:26
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.995),False,True,11.0,11,12:27:26
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.993),False,True,11.0,11,12:27:26
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.991),False,True,11.0,11,12:27:27
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.989),False,True,11.0,11,12:27:27
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.988),False,True,11.0,11,12:27:27
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.987),False,True,11.0,11,12:27:28
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.986),False,True,11.0,11,12:27:28
SPPP-F-2,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.985),False,True,11.0,11,12:27:28
SPPP-F-2,3,[3][args:693-7-3],Fact,posttest,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.972),False,False,11.0,33,12:27:29
SPPP-F-2,3,[3][args:495-9-5],Fact,posttest,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.997),False,True,11.0,11,12:27:29
SPPP-F-2,3,[3][args:448-7-8],Fact,posttest,INCORRECT,Request,...,{('answer'&)},11.0:()->answer (v: 0.997),False,False,11.0,8,12:27:29
