Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-2,1,[1][args:7-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Pow(?.v&?.v):(arg_1&arg_2)->answer,False,True,None,343,15:33:13
SPPP-F-2,2,[2][args:240-5-72-24],Fact,study,NA,Train,None,{('answer'&)},16.0:()->answer,False,True,None,16,15:33:13
SPPP-F-2,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&'arg_3'&'arg_3')},Multiply(?.v&?.v):(arg_3&arg_3)->answer,False,True,None,9,15:33:13
SPPP-F-2,4,[4][args:2-6],Fact,study,NA,Train,None,{('answer'&)},39.0:()->answer,False,True,None,39,15:33:13
SPPP-F-2,5,[5][args:21-110-656],Fact,study,NA,Train,None,{('answer'&)},26.0:()->answer,False,True,None,26,15:33:13
SPPP-F-2,1,[1][args:7-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Pow(?.v&?.v):(arg_1&arg_2)->answer (v: None),False,True,343,343,15:33:13
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&)},16.0:()->answer (v: None),False,True,16.0,16,15:33:14
SPPP-F-2,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3'&'arg_3')},Multiply(?.v&?.v):(arg_3&arg_3)->answer (v: None),False,True,9,9,15:33:14
SPPP-F-2,4,[4][args:2-6],Fact,practice,CORRECT,Request,...,{('answer'&)},39.0:()->answer (v: None),False,True,39.0,39,15:33:14
SPPP-F-2,5,[5][args:21-110-656],Fact,practice,CORRECT,Request,...,{('answer'&)},26.0:()->answer (v: None),False,True,26.0,26,15:33:14
SPPP-F-2,1,[1][args:7-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Pow(?.v&?.v):(arg_1&arg_2)->answer (v: None),False,True,343,343,15:33:14
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&)},16.0:()->answer (v: None),False,True,16.0,16,15:33:15
SPPP-F-2,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3'&'arg_3')},Multiply(?.v&?.v):(arg_3&arg_3)->answer (v: None),False,True,9,9,15:33:15
SPPP-F-2,4,[4][args:2-6],Fact,practice,CORRECT,Request,...,{('answer'&)},39.0:()->answer (v: None),False,True,39.0,39,15:33:15
SPPP-F-2,5,[5][args:21-110-656],Fact,practice,CORRECT,Request,...,{('answer'&)},26.0:()->answer (v: None),False,True,26.0,26,15:33:15
SPPP-F-2,1,[1][args:7-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Pow(?.v&?.v):(arg_1&arg_2)->answer (v: None),False,True,343,343,15:33:15
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&)},16.0:()->answer (v: None),False,True,16.0,16,15:33:16
SPPP-F-2,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_3')},Add(?.v&?.v):(arg_2&arg_3)->answer (v: None),False,True,9,9,15:33:16
SPPP-F-2,4,[4][args:2-6],Fact,practice,CORRECT,Request,...,{('answer'&)},39.0:()->answer (v: None),False,True,39.0,39,15:33:16
SPPP-F-2,5,[5][args:21-110-656],Fact,practice,CORRECT,Request,...,{('answer'&)},26.0:()->answer (v: None),False,True,26.0,26,15:33:16
SPPP-F-2,1,[1][args:7-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Pow(?.v&?.v):(arg_1&arg_2)->answer (v: None),False,True,343,343,15:33:17
SPPP-F-2,2,[2][args:240-5-72-24],Fact,practice,CORRECT,Request,...,{('answer'&)},16.0:()->answer (v: None),False,True,16.0,16,15:33:17
SPPP-F-2,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_3')},Add(?.v&?.v):(arg_2&arg_3)->answer (v: None),False,True,9,9,15:33:17
