Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,1,[1][args:23-1],Fact,study,NA,Train,None,{('answer'&'arg_1')},Inverse(?.v):(arg_1)->answer,False,True,None,32,15:33:13
SPPP-F-1,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,15:33:13
SPPP-F-1,3,[3][args:98-2-7],Fact,study,NA,Train,None,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer,False,True,None,7,15:33:13
SPPP-F-1,4,[4][args:1-13],Fact,study,NA,Train,None,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer,False,True,None,26,15:33:13
SPPP-F-1,5,[5][args:13-98-163],Fact,study,NA,Train,None,{('answer'&)},5.0:()->answer,False,True,None,5,15:33:13
SPPP-F-1,1,[1][args:23-1],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_1)->answer (v: None),False,True,32,32,15:33:13
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:13
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:14
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:14
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:14
SPPP-F-1,1,[1][args:23-1],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_1)->answer (v: None),False,True,32,32,15:33:14
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:14
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_1)->answer (v: None),False,True,89,7,15:33:15
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:15
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:15
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:15
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:16
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:16
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:16
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:17
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:17
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:17
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:18
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:18
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:18
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:19
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:20
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:20
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:20
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:21
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:21
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:22
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:23
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:23
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:24
SPPP-F-1,1,[1][args:23-1],Fact,practice,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:24
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:25
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:26
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:26
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:27
SPPP-F-1,1,[1][args:23-1],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_1)->answer (v: None),False,True,32,32,15:33:28
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:28
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:29
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:29
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:30
SPPP-F-1,1,[1][args:23-1],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_1)->answer (v: None),False,True,32,32,15:33:31
SPPP-F-1,2,[2][args:126-3-54-9],Fact,practice,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:31
SPPP-F-1,3,[3][args:98-2-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1')&('answer'&'arg_3')},Inverse(?.v):(arg_3)->answer (v: None),False,True,7,7,15:33:32
SPPP-F-1,4,[4][args:1-13],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:33
SPPP-F-1,5,[5][args:13-98-163],Fact,practice,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:34
SPPP-F-1,3,[3][args:98-2-7],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,4,7,15:33:34
SPPP-F-1,5,[5][args:13-98-163],Fact,posttest,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:34
SPPP-F-1,5,[5][args:5-79-199],Fact,posttest,INCORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,False,5.0,24,15:33:34
SPPP-F-1,4,[4][args:1-13],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:34
SPPP-F-1,2,[2][args:126-3-54-9],Fact,posttest,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:34
SPPP-F-1,3,[3][args:448-7-8],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,14,8,15:33:35
SPPP-F-1,1,[1][args:2-4],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,8,61,15:33:35
SPPP-F-1,5,[5][args:13-98-163],Fact,posttest,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:35
SPPP-F-1,5,[5][args:13-98-163],Fact,posttest,CORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,True,5.0,5,15:33:35
SPPP-F-1,5,[5][args:18-93-291],Fact,posttest,INCORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,False,5.0,11,15:33:35
SPPP-F-1,2,[2][args:216-4-87-29],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,8,18,15:33:35
SPPP-F-1,3,[3][args:312-3-4],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,6,26,15:33:35
SPPP-F-1,4,[4][args:2-4],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,8,18,15:33:35
SPPP-F-1,4,[4][args:3-15],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,30,3380,15:33:35
SPPP-F-1,4,[4][args:1-13],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:35
SPPP-F-1,3,[3][args:98-2-7],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,4,7,15:33:35
SPPP-F-1,1,[1][args:23-1],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:35
SPPP-F-1,1,[1][args:23-1],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:35
SPPP-F-1,4,[4][args:1-8],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,16,16,15:33:35
SPPP-F-1,2,[2][args:126-3-54-9],Fact,posttest,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:35
SPPP-F-1,3,[3][args:693-7-3],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,14,33,15:33:35
SPPP-F-1,1,[1][args:10-1],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,2,1,15:33:35
SPPP-F-1,2,[2][args:110-5-121-11],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,10,2,15:33:35
SPPP-F-1,4,[4][args:1-13],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,26,26,15:33:35
SPPP-F-1,2,[2][args:45-3-120-24],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,6,3,15:33:35
SPPP-F-1,1,[1][args:4-4],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,False,8,652,15:33:35
SPPP-F-1,2,[2][args:126-3-54-9],Fact,posttest,CORRECT,Request,...,{('answer'&)},7.0:()->answer (v: None),False,True,7.0,7,15:33:35
SPPP-F-1,1,[1][args:23-1],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,2,32,15:33:35
SPPP-F-1,3,[3][args:98-2-7],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2'&'arg_2')},Add(?.v&?.v):(arg_2&arg_2)->answer (v: None),False,True,4,7,15:33:35
SPPP-F-1,5,[5][args:23-423-584],Fact,posttest,INCORRECT,Request,...,{('answer'&)},5.0:()->answer (v: None),False,False,5.0,7,15:33:36
