skill,activation,t,decay,b
A=l*w:()->answer,-inf,1,0.177,0.01
A=l*w:()->answer,0.3948298140119091,2,0.5881044507141373,1.0
A=l*w:()->answer,5.008806512936178,28,41.65108358121513,1.0
A=l*w:()->answer,5.139321291482798,35,47.43318376396423,1.0
A=l*w:()->answer,5.123127186428459,45,46.67407529035782,1.0
A=l*w:()->answer,5.107159080938779,55,45.937501581423675,0.01
A=l*w:()->answer,2.7988617868579655,56,4.726985354029972,1.0
A=l*w:()->answer,5.094977093254219,57,45.3834294169086,0.01
A=l*w:()->answer,3.0784514949562247,58,6.194751726234033,1.0
A=l*w:()->answer,5.09820489173392,198,45.529582410364824,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",-inf,4,0.177,0.01
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",0.3948298140119091,7,0.5881044507141373,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.0077936681323765,9,41.60909803717679,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.426161877611538,24,63.132246743985945,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.172731279672455,25,49.038682818587155,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.167868009393042,39,48.80163213671618,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.125070275362644,194,46.76451107676032,1.0
"('Area Trapezoid', ('value', '?arg0'), ('value', '?arg1'), ('value', '?arg2')):(s1,h,b)->answer",5.048719409655827,207,43.33991324600824,1.0
A=1/2*b*h:()->answer,-inf,6,0.177,0.01
A=1/2*b*h:()->answer,0.3948298140119091,19,0.5881044507141373,1.0
A=1/2*b*h:()->answer,5.006248528864629,29,41.545129108732915,1.0
A=1/2*b*h:()->answer,5.222974780816411,41,51.55638428323207,1.0
A=1/2*b*h:()->answer,5.1514214290082405,46,48.008463549661855,1.0
A=1/2*b*h:()->answer,5.1363521111557775,59,47.293079732798866,0.01
A=1/2*b*h:()->answer,2.9405943189577606,60,5.419804400806639,1.0
