Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:14
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:14
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:14
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.711),False,True,7.0,7,12:38:14
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.700),False,True,9.0,9,12:38:15
SPSP-F-3,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,100002,12:38:15
SPSP-F-3,4,[4][args:5-10],Fact,practice,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:15
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:15
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:16
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:16
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.988),False,True,7.0,7,12:38:16
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.988),False,True,9.0,9,12:38:17
SPSP-F-3,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,100002,12:38:17
SPSP-F-3,4,[4][args:5-10],Fact,practice,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:18
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:18
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:18
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:19
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.983),False,True,7.0,7,12:38:19
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.983),False,True,9.0,9,12:38:20
SPSP-F-3,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.777),False,True,100002.0,100002,12:38:21
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:23
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:24
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:25
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.978),False,True,7.0,7,12:38:25
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.978),False,True,9.0,9,12:38:27
SPSP-F-3,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.969),False,True,100002.0,100002,12:38:29
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:32
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:32
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:33
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.974),False,True,7.0,7,12:38:33
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,[2&1],HINT,False,True,None,9,12:38:34
SPSP-F-3,3,[3][args:162-6-3],Fact,practice,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:34
SPSP-F-3,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.940),False,True,100002.0,100002,12:38:35
SPSP-F-3,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&)},7.0:()->answer,False,True,None,7,12:38:36
SPSP-F-3,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&)},9.0:()->answer,False,True,None,9,12:38:36
SPSP-F-3,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:38:37
SPSP-F-3,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,{('answer'&)},7.0:()->answer (v: 0.971),False,True,7.0,7,12:38:37
