Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-2,2,[2][args:504-4-98-14],Fact,study,NA,Train,None,{('answer'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_2_concept_2')},Subtract(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_4_concept_2&arg_4_concept_2&arg_4_concept_2&arg_2_concept_2)->answer,False,True,None,18,12:40:58
SPSP-F-2,3,[3][args:308-4-7],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3'&'arg_2_concept_3'&'arg_2_concept_3')},Add(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_2_concept_3&arg_3_concept_3&arg_2_concept_3&arg_2_concept_3)->answer,False,True,None,11,12:41:02
SPSP-F-2,4,[4][args:4-4],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_1_concept_4&arg_2_concept_4&arg_1_concept_4&arg_1_concept_4)->answer,False,True,None,257,12:41:08
SPSP-F-2,5,[5][args:21-110-656],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,26,12:41:20
SPSP-F-2,2,[2][args:504-4-98-14],Fact,practice,CORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_4_concept_2'&'arg_2_concept_2')},Subtract(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_4_concept_2&arg_4_concept_2&arg_4_concept_2&arg_2_concept_2)->answer (v: 0.700),False,True,18,18,12:41:20
SPSP-F-2,3,[3][args:308-4-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3'&'arg_2_concept_3'&'arg_2_concept_3')},Add(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_2_concept_3&arg_3_concept_3&arg_2_concept_3&arg_2_concept_3)->answer (v: 0.700),False,True,11,11,12:41:32
SPSP-F-2,4,[4][args:4-4],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_1_concept_4&arg_2_concept_4&arg_1_concept_4&arg_1_concept_4)->answer (v: 0.700),False,True,257,257,12:41:45
SPSP-F-2,5,[5][args:21-110-656],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,26,12:41:55
SPSP-F-2,5,[5][args:21-110-656],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,26,12:42:11
SPSP-F-2,2,[2][args:504-4-98-14],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_2&arg_4_concept_2)->answer,False,True,None,18,12:42:25
SPSP-F-2,3,[3][args:308-4-7],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,11,12:42:40
SPSP-F-2,4,[4][args:4-4],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_4'&'arg_1_concept_4'&'arg_1_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_1_concept_4&arg_1_concept_4&arg_1_concept_4&arg_1_concept_4)->answer,False,True,None,257,12:42:54
SPSP-F-2,5,[5][args:21-110-656],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,26,12:43:10
SPSP-F-2,2,[2][args:504-4-98-14],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_2&arg_4_concept_2)->answer (v: 0.700),False,True,18,18,12:43:10
SPSP-F-2,3,[3][args:308-4-7],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: 0.700),False,True,11,11,12:43:27
SPSP-F-2,4,[4][args:4-4],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_1_concept_4&arg_2_concept_4&arg_1_concept_4&arg_1_concept_4)->answer (v: 0.988),False,True,257,257,12:43:44
SPSP-F-2,5,[5][args:21-110-656],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,26,12:43:59
SPSP-F-2,5,[5][args:21-110-656],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,26,12:44:19
SPSP-F-2,2,[2][args:504-4-98-14],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_2&arg_4_concept_2)->answer,False,True,None,18,12:44:39
SPSP-F-2,3,[3][args:308-4-7],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')&('answer'&'arg_2_concept_2'&'arg_4_concept_2')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,11,12:44:57
