Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,1,[1][args:10-2],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer,False,True,None,1,12:21:43
SPPP-F-1,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer,False,True,None,6,12:21:43
SPPP-F-1,3,[3][args:162-6-3],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,9,12:21:44
SPPP-F-1,4,[4][args:3-21],Fact,study,NA,Train,None,{('answer'&)},9268.0:()->answer,False,True,None,9268,12:21:44
SPPP-F-1,5,[5][args:16-117-421],Fact,study,NA,Train,None,{('answer'&)},19.0:()->answer,False,True,None,19,12:21:45
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:21:45
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:21:46
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:21:46
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:21:47
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:21:48
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:21:49
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:21:50
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:21:51
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:21:52
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:21:53
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:21:54
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:21:55
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:21:55
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:21:56
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:21:57
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:21:58
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:21:59
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:22:00
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:22:01
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:22:03
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:22:04
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:22:05
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:22:06
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:22:07
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:22:09
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:22:11
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:22:13
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:22:14
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:22:16
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:22:18
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:22:21
SPPP-F-1,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_2')},?.v:(arg_2_concept_2)->answer (v: None),False,True,6,6,12:22:22
SPPP-F-1,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: None),False,True,9,9,12:22:25
SPPP-F-1,4,[4][args:3-21],Fact,practice,CORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: None),False,True,9268.0,9268,12:22:26
SPPP-F-1,5,[5][args:16-117-421],Fact,practice,CORRECT,Request,...,{('answer'&)},19.0:()->answer (v: None),False,True,19.0,19,12:22:27
SPPP-F-1,1,[1][args:10-2],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_1'&'arg_1_concept_1')},Divide(?.v&?.v):(arg_1_concept_1&arg_1_concept_1)->answer (v: None),False,True,1,1,12:22:28
