Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-3,2,[2][args:88-11-48-6],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,1,13:24:19
SPPP-F-3,2,[2][args:88-11-48-6],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_4_concept_2'&'arg_4_concept_2')},Subtract(Divide(?.v&?.v)&Subtract(?.v&?.v)):(arg_1_concept_2&arg_1_concept_2&arg_4_concept_2&arg_4_concept_2)->answer,False,True,None,1,13:24:45
SPPP-F-3,3,[3][args:162-6-3],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,9,13:24:45
SPPP-F-3,3,[3][args:162-6-3],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_3&arg_3_concept_3&arg_3_concept_3&arg_3_concept_3)->answer,False,True,None,9,13:24:48
SPPP-F-3,4,[4][args:3-9],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,732,13:24:48
SPPP-F-3,4,[4][args:3-9],Fact,practice,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,732,13:24:54
SPPP-F-3,5,[5][args:13-98-163],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,5,13:24:54
SPPP-F-3,5,[5][args:13-98-163],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,5,13:25:05
SPPP-F-3,2,[2][args:88-11-48-6],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,1,13:25:05
SPPP-F-3,2,[2][args:88-11-48-6],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_1_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_1_concept_2&arg_1_concept_2&arg_1_concept_2)->answer,False,True,None,1,13:25:15
SPPP-F-3,3,[3][args:162-6-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_3&arg_3_concept_3&arg_3_concept_3&arg_3_concept_3)->answer (v: 0.679),False,True,9,9,13:25:15
SPPP-F-3,4,[4][args:3-9],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,732,13:25:28
SPPP-F-3,4,[4][args:3-9],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(?.v&Pow(?.v&?.v)):(arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,732,13:25:46
