Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-1,2,[2][args:150-5-90-9],Fact,study,NA,Train,None,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Subtract(Subtract(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer,False,False,None,3,16:34:52
SPSP-F-1,3,[3][args:495-9-5],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_2_concept_3'&'arg_2_concept_3')},Add(Add(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_3&arg_3_concept_3&arg_2_concept_3&arg_2_concept_3)->answer,False,False,None,11,16:34:57
SPSP-F-1,4,[4][args:4-8],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,False,None,4098,16:35:08
SPSP-F-1,5,[5][args:13-98-163],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_1_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Subtract(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_5&arg_1_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,False,None,5,16:35:36
SPSP-F-1,2,[2][args:150-5-90-9],Fact,practice,CORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Subtract(Subtract(?.v&?.v)&Divide(?.v&?.v)):(arg_4_concept_2&arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer (v: 0.700),False,False,3,3,16:35:36
SPSP-F-1,3,[3][args:495-9-5],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_3'&'arg_3_concept_3'&'arg_2_concept_3'&'arg_2_concept_3')},Add(Add(?.v&?.v)&Divide(?.v&?.v)):(arg_3_concept_3&arg_3_concept_3&arg_2_concept_3&arg_2_concept_3)->answer (v: 0.700),False,False,11,11,16:35:57
SPSP-F-1,4,[4][args:4-8],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.700),False,False,4098,4098,16:36:16
SPSP-F-1,5,[5][args:13-98-163],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,False,None,5,16:36:36
SPSP-F-1,5,[5][args:13-98-163],Fact,practice,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,False,None,5,16:36:59
SPSP-F-1,2,[2][args:150-5-90-9],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_3_concept_2&arg_2_concept_2&arg_1_concept_2)->answer,False,False,None,3,16:37:26
