Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-2,2,[2][args:126-3-54-9],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_3_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_3_concept_2)->answer,False,True,None,7,08:14:45
SPSP-F-2,3,[3][args:280-7-8],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,5,08:14:46
SPSP-F-2,4,[4][args:4-4],Fact,study,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer,False,True,None,257,08:14:46
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,21,08:14:50
SPSP-F-2,2,[2][args:126-3-54-9],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,7,08:14:50
SPSP-F-2,2,[2][args:126-3-54-9],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_3_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_3_concept_2)->answer,False,True,None,7,08:14:54
SPSP-F-2,3,[3][args:280-7-8],Fact,practice,INCORRECT,Request,...,[1&0],HINT,False,True,None,5,08:14:54
SPSP-F-2,3,[3][args:280-7-8],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,5,08:14:57
SPSP-F-2,4,[4][args:4-4],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Divide(?.v&?.v)&Pow(?.v&?.v)):(arg_2_concept_4&arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.685),False,True,257,257,08:14:58
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.685),False,True,21,21,08:15:02
