Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-S-2,2,[2][args:88-11-48-6],Skill,study,NA,Train,None,{('answer'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_4_concept_2')},Subtract(Subtract(?.v&?.v)&Multiply(?.v&?.v)):(arg_3_concept_2&arg_2_concept_2&arg_4_concept_2&arg_4_concept_2)->answer,False,True,None,1,16:34:53
SPSP-S-2,3,[3][args:162-6-3],Skill,study,NA,Train,None,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer,False,True,None,9,16:34:57
SPSP-S-2,4,[4][args:1-13],Skill,study,NA,Train,None,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4')},Add(Add(?.v&?.v)&Subtract(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_2_concept_4)->answer,False,True,None,26,16:35:02
SPSP-S-2,5,[5][args:15-142-322],Skill,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,True,None,12,16:35:27
SPSP-S-2,2,[2][args:150-5-90-9],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_4_concept_2')},Subtract(Subtract(?.v&?.v)&Multiply(?.v&?.v)):(arg_3_concept_2&arg_2_concept_2&arg_4_concept_2&arg_4_concept_2)->answer (v: 0.700),False,False,4,3,16:35:27
SPSP-S-2,2,[2][args:150-5-90-9],Skill,practice,NA,Train,None,{('answer'&'arg_3_concept_2'&'arg_2_concept_2'&'arg_1_concept_2')},Multiply(?.v&Divide(?.v&?.v)):(arg_3_concept_2&arg_2_concept_2&arg_1_concept_2)->answer,False,False,None,3,16:35:48
SPSP-S-2,3,[3][args:1170-9-10],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_3'&'arg_3_concept_3')},Add(?.v&?.v):(arg_2_concept_3&arg_3_concept_3)->answer (v: 0.692),False,False,19,13,16:35:48
SPSP-S-2,3,[3][args:1170-9-10],Skill,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_2_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_3_concept_3&arg_2_concept_3)->answer,False,False,None,13,16:36:09
SPSP-S-2,4,[4][args:5-10],Skill,practice,INCORRECT,Request,...,[1&0],HINT,False,False,None,100002,16:36:19
SPSP-S-2,5,[5][args:16-117-421],Skill,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.679),False,False,19,19,16:36:19
SPSP-S-2,2,[2][args:252-6-84-12],Skill,study,NA,Train,None,{('answer'&'arg_4_concept_2'&'arg_2_concept_2')},Subtract(?.v&?.v):(arg_4_concept_2&arg_2_concept_2)->answer,False,False,None,6,16:36:41
SPSP-S-2,3,[3][args:648-12-6],Skill,study,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_2_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_3_concept_3&arg_2_concept_3)->answer,False,False,None,9,16:36:51
SPSP-S-2,4,[4][args:3-12],Skill,study,NA,Train,None,{('answer'&)},1732.0:()->answer,False,False,None,1732,16:37:01
SPSP-S-2,5,[5][args:3-56-98],Skill,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,False,False,None,14,16:37:12
SPSP-S-2,2,[2][args:165-3-143-13],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_4_concept_2'&'arg_2_concept_2')},Subtract(?.v&?.v):(arg_4_concept_2&arg_2_concept_2)->answer (v: 0.700),False,False,10,5,16:37:13
SPSP-S-2,2,[2][args:165-3-143-13],Skill,practice,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer,False,False,None,5,16:37:35
SPSP-S-2,3,[3][args:312-13-4],Skill,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_3_concept_3'&'arg_2_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_3_concept_3&arg_2_concept_3)->answer (v: 0.759),False,False,6,6,16:37:35
SPSP-S-2,4,[4][args:2-18],Skill,practice,INCORRECT,Request,...,[3&3],HINT,False,False,None,333,16:38:08
