Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,21,12:16:40
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,12:16:50
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.749),False,True,21.0,9,12:16:50
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.749),False,True,9.0,100002,12:16:50
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.749),False,True,100002.0,21,12:16:51
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.993),False,True,9.0,9,12:16:51
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.993),False,True,100002.0,100002,12:16:51
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.988),False,True,21.0,21,12:16:52
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.988),False,True,9.0,9,12:16:52
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.988),False,True,100002.0,100002,12:16:53
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.984),False,True,21.0,21,12:16:53
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.984),False,True,9.0,9,12:16:54
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.984),False,True,100002.0,100002,12:16:54
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.980),False,True,21.0,21,12:16:54
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.980),False,True,9.0,9,12:16:55
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.980),False,True,100002.0,100002,12:16:55
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.978),False,True,21.0,21,12:16:56
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.978),False,True,9.0,9,12:16:56
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.978),False,True,100002.0,100002,12:16:57
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.975),False,True,21.0,21,12:16:57
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.975),False,True,9.0,9,12:16:58
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.975),False,True,100002.0,100002,12:16:58
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.973),False,True,21.0,21,12:16:59
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.973),False,True,9.0,9,12:16:59
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,[3&2],HINT,False,True,None,100002,12:17:00
SPPP-F-1,4,[4][args:5-10],Fact,practice,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,12:17:00
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.971),False,True,21.0,21,12:17:00
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.971),False,True,9.0,9,12:17:01
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.971),False,True,100002.0,100002,12:17:01
SPPP-F-1,2,[2][args:441-7-372-124],Fact,practice,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.969),False,True,21.0,21,12:17:01
SPPP-F-1,3,[3][args:648-12-6],Fact,practice,INCORRECT,Request,...,{('answer'&)},9.0:()->answer (v: 0.969),False,True,9.0,9,12:17:02
SPPP-F-1,4,[4][args:5-10],Fact,practice,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.969),False,True,100002.0,100002,12:17:03
SPPP-F-1,4,[4][args:2-8],Fact,posttest,INCORRECT,Request,...,[3&3],HINT,False,False,None,68,12:17:03
SPPP-F-1,4,[4][args:5-10],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: 0.948),False,True,100002.0,100002,12:17:03
SPPP-F-1,2,[2][args:288-12-18-9],Fact,posttest,INCORRECT,Request,...,{('answer'&)},21.0:()->answer (v: 0.947),False,False,21.0,12,12:17:03
